,text,label_h,label_f,label_s
28,abe bigg boss show me baki contestants bhi hai un se related news deta nhisirf sari updates hina se related deta haiwo bhi hate walikhabari hai bakri chabar chabar karta rehta hina k bare me,0,0,0
29,stone miracle of hazrat imam hussain  ra    wo pathar jis se abhi tak khoon behta hai http  youtube kh_ukzmqma via  youtube,0,0,0
30,pappu ka ye saja phansi se kam nahi,0,1,0
31,sir phansi nahi  sirf looted money wapas chaiya,0,1,1
32,bhai  ye log honour killing mein vishwas rakhne walo me se hain  khud dusri ki beheno ko din raat chedege  kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain,1,0,0
33,aap log kabhi america ki dalali karto kabhi nafrat,0,0,1
34,agar isse love kehte toh hum jo karte usse kya hate   chawalariya  yashika_khttps  twittercom drrrsanket status ,0,1,1
35,bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,0,1,0
36,#narendra modi u r a hopeless pm apne garib ko maar daala i hate u sirf aap bol bacchan dete ho karte kuch bhi nhi u r fake person,1,0,0
37,provinces or banana to achi baat hay magar pakistani bun jana to fakhar ki baat hui na baat baat p nafrat achi nahi,0,0,0
38,acha tou un per quota system laga ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say unki industry nationalise hoi unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,0,0,0
39,bhutto sb juke nahi phansi char gayeniazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,0,0,0
40,pervez musharraf nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast haramkhoor nawaz shareef ko phansi do moto gang k sath,0,0,0
41,jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me tabhi in darindo ka kuch ilaaj ho sakta hai,0,0,0
42,dont hate you nanhi si jaan aur ek tu woh b,0,1,0
43,mujhe to dono se hi nafrat he par bjp se mujhe itni nafrat he zindagi me ise vote nhi dunga kyonki ye party vote ke laayak hi nhi he,1,1,0
44,ye shocked h kya lat padi h ise arshi se jabardastor khana khayegi n zillat ke laddu salman ne bhijwa diye,0,1,0
45,haha farzi hatred spreading moron  shaileshgam  blocked me,0,1,0
46,ye vidya salman se bhut bdi celebrity h,0,1,0
47,ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante haiye nafrat pahelane log apke guru ho sakte mera nahimere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,0,1,0
48,as a akshra i hate hina khan   but jaise hi usne is ghar m apne aap ko dikhaya hai   i respct her   bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai waah or jinko footage chaea wo hina hina karte rahte hai   hina kis kis ko palegi show mapni image banao sab,1,1,0
49,salman bahut bda chutiya h sirf shilpa ka side leta h  kaaaminaaaaphone pe bhe shilpa se baat kia   chutiya  i hate this biased show abe dhang se host kr    isbar unfair #luvtyagi #eyehinakhan #ipriyanksharma,1,1,0
50,aayega jab take alia ki shaadi age pass aayegi kyuki alia said ki hoote hi won shaadi kargi varun bhi kitna kutta hai natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,1,1,0
51,mahajiron se kisi ko bhe nafrat nahe hai mostly log mohajiron ki tragedy ko samjhte hainaur  but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai,0,1,0
52,haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,0,0,0
53,pata nahi log kyun rape karte he farziwal ke sarkar me har  km par spa khula he aap bhi add kar do rape kam hi jayenge,0,1,0
54,ye kasisi sacchai hai rss wale bomb banate hai aur media raafiya naaz ko lekar muslmano ke khilaf zaher ugalta hai kub tak aisa chalega ,1,1,0
55,apne personal hatred k liye srk ka nam badnam kr rhe hai chutiyebhakts ko support kaise kr sakta hai koi lolll,0,1,1
56,red sy kyunky red tumhe meray khoon ki yaad dilay ga ,0,1,0
57,is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai  or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai   ye is ghar ki khasiyat hai  people are realsapna akash or hinabaki sab fake or banwti hai #bb,0,1,0
58,ek  ara ke bjp ke jila mahamantri  shdhirendra singh se sare aam road chaap leader surendra singh or uske bodyguard rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai or hamari bjp ke karya karta aise hi baithe haikal ye ghatna aap or hum  ,0,0,1
59,pichle  month se jio ka net k s se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,0,0,1
60,g bolkar g ka speed mil raha hai ye sara sar dokha hai i hate jio,1,1,0
61,tujhe murder kar dungi main,1,1,1
62,i hate weddings ye madrchod log  ghante se ghar k niche dhol baja rhe h,1,0,0
63,haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,0,1,1
64,humidity ka kam tu mat kar rape hua he bhi ki ni case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,0,0,0
65,hina apni galti manane ko tayar hi nahi hotiwo hai kya ki usko itna ghamand hai sabko bolti hai ye mera class nahi fake lady arshi bahut acchi hai is heena se i hate her,1,0,0
66,jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliyearopi ladki jhute fasa deti he forg,1,1,1
67,chatukarta ke baare me to maine suna hai bjp ne ab tak ke saare record tor diye lab ke ab to pehchaan hi yahi hai doosri buri zubaan  gaaliyan aur sachchayee  imaandaari aur aqal se nafrat,0,1,0
68,saheb  salkyabhutta bun rahe tha or kabhi cort nahi gaye ho pahle pata karo rape ke case forge hote he tum jaise media kanon banwaya,0,0,1
69,lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,1,1,0
70, jiocare mere aria me jio ka speed k s se jyada  milta hi nahi hai aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,0,0,0
71,g ke naam par g mil raha kai,0,1,1
72,aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,0,1,1
73,sanitary napkin bhi sasti ho gayi pahan le   bahut khoon fek raha tum logo ki dukan se,0,1,0
74,aaj to salman bhi chupke se bol gaye k i hate hina and agree with #arshi fir bhi hina k andhe bhakto ko dhik nhi raha,0,0,0
75,sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai  ab logo k ghar me v suru ho gye,0,1,0
76, saal punjab ki awam ka khoon choosnay walay sharif brothers aaj tak saverage ka nizam theak nai kar sakay,0,1,0
77,#hina ko main dekhna or soonna pasand nahi karta i hate #hinakhan,1,0,1
78,tujhe nafrat hoti hai na pando se tu bhi pandi hi hai ek kaam kr ek baap ki aulaad hai to ek dalit se shadi krio dekhte hain ki tujhe sirf yahan publicity chahiye ya tu sacchi h mai ek dalit se pyar krta hu aur shadi bhi krunga usise,1,1,0
79,whats wrong with sapna samjhti kya hai after hina i hate her kitna attitude hai karna kuch nahi hai bas bakwas karni hai #bb,1,1,0
80,har election ke pahiley janta ke samne kuch tukde fenk diye hate hain,0,1,1
81,mera khoon khaula tha q ki wo movie boycott khan ki wajah se hui thi aur ye rajpoot ki wajah se,1,1,0
82,i hate this sapna so much  itna ghamand kisliye bhai,1,1,0
83,bhai ji aap ko kya karna hai birthday manaye ya nhi manayeaap apna kaam theek se toh karna sheekhojhut or jumlaa aap k khoon mai hai,0,1,1
84,hina ne shilpa ji ko kitna acha bola hai ki humare profession main makeup lagana padta hai aapki aadat chhoot gayi hogi,0,1,0
85,padmavati ka dusra khoon sunkar kano se khoon nikalne waala aur deepika ko dekhte hi vomiting koi itni ugly kesi dikh sakti hai bhai,0,0,0
86,arshe jaisii gandi tho nahi hai hinawe love hina we hate arshi n akash,1,0,0
87,punjabion ne punjabion ko maara isliye nahi jataya aap ne kisi ne nahin kaha tha apne hi zaat paat muhallay ki aurton ka rape karo  kisi ne nahin kaha tha aik doosre ke talwaaron se shaheed kar do ab is main koi aur kia kare jo punjabion ne khud aik doosre ke saath kia https  twittercom samar_abc status ,0,0,0
88,bhai wo hate story ki stages hoti hn,0,0,1
89,bohat hi fazool college se sakht nafrat hai mujhe th ki chuttiyan wapis la do,1,1,0
90, deepikapadukone ne srk ko attitude dikhaya tha,0,1,0
91,better hai sab milke kuch accha socho acchi sarkar yuva sarkar banao kuch progress karo milke jisse desh ki taraqqi ho,0,0,1
92,bhai movie nai dekhi par sanjay leela ko jaante hai  aapko agar pata hota kei ye saab raajput se nafrat kyu krte hai or ek baar nai ye apni kai filmo me raajput o ko nicha dikhane ka koi moka nai chodte to aap ye bakwaas nai krte,0,1,0
93,lol maine pura thread kiya tha  wo dekha nai karma is real,0,0,0
94,lekin tum sab log personal hate ki wajah se chutiyapa karte ho,0,1,1
95,se cancer k mareez k elaj karwane lahor jane wale mutadid sheri panjab poliec k hate chad gai,0,0,0
96,mai bahut respect kar tha  deepikapadukone ko dilwale k phele tak jab usne  #challengeaccepted ka tweet dala tabse aj tak hate h hate krta hun aur karta rahunga  kismat badi kutti cheez hai saali kabhi bhi palat jaati hai  kabhi nhi bholunga jab tak h jan,0,1,0
97,ye deekho ek aur farzi rashtravadi isko muslims ka cencus yaad hoga aur pure world ka history bata dega  islam majority  terrorism  non secular  yahi samjayega hindu bachao yahi chilayega hahaha https  twittercom atheist_krishna status ,0,0,0
98,koii school ka imtihaan nhi,0,0,0
99,fir bhi hindu terrorism secular logonko najar ata hai aur yoga me communalism  safronisation unka yoga virodh hindu virodh nahi  secularism  shanti sandesh samazna chahiye https  twittercom poojasingh status ,0,0,0
100,ravish sachcha suchcha journalist hai aur bjp ko sachche  imaandaari aur budhdhijeevi  intelligent aur achhe logon se nafrat hai extra ordinary loud voice aur zehreele shabd istemaal karengehar waqt gussie me rahengeye kya sanskaar larisa culture haibure log buri soc,0,0,0
101,oooo hello jo bhi serial dekhke hina ke fan the wo sab log aaj hina ho hate karne lage he  log ab samaj lo tum hin salmanji ne bhi aaj hina ki bajai lagta he dekha nahi he kutti he hina,0,0,0
102,tum ne dekha ho ga k kanta lagny per log phool ko b phenk dety  hain love u,0,1,1
103,ham likhte hi aisa hai ki khoon garam ho jaae khikhikhi khair yah bas mera imagination hai as a writer baaki om raut ne apna likha hoga kuch alag,0,1,1
104,bhai isko idhar chod aur nikaliska movie aane detab dekhta hoo iskosaale sab milke hate trend karre haigod bless them,1,0,0
105,ram ko kalpanik bolne wala aur ye kehne wala ki  jo mandir jaate hai  wo ladkiya chedte hai aisa kutta ab temple run khel raha hai,0,1,0
106,ye to hinduo se nafrat karta hai nafir mandir k dhakke kyuisse astha se koi mtlb nahi  elections se hai,0,1,0
107,achchha indian hindu n achchha indian muslim kabhi bhi ekdusre ke liye dil me nafrat nahi rakhtasir aap aise comments ko ignore karein pls,0,1,0
108, bigg_boss__ hina  such a diplomatic  drama queenkhud aag lagati hai baad me dusro ka naam leti haihate u,1,0,0
109,koi tiger ka khoon kar do humari nhi to kisi ki nahi,0,0,0
110,jiska khoon  ek movie free mein dekhne ke liye ufaan maare wo rajput,0,1,0
111,jo bina zyaada load liye movie dekhne jaae wo moviegoer,0,0,0
112,jo twitter pe support  boycott ka trend kare wo chutiye,0,1,0
113,hina khan ek murder bhi kar degi toh bolegi maine use jaan lene ke liye nahi maara aise hi goli chalakar dekh rahi thi uspe,0,0,0
114,sir  jaipur_police   humare rajput bhai  amitsingh ka khoon http  fbme sblsxey,0,0,0
115,sir  jaipur_police   humare rajput bhai  amitsingh ka khoon ufaan maar raha hai  kuch ho sakta hai kya pictwittercom wfsqwnuh,0,0,0
116,ise dekh kar jiska khoon na khole or wo cheepikians ko support kare to wo chutiya https  twittercom indicine status ,0,1,0
117,india wale sab arshi ko hate karte h,0,0,0
118,dil sambhal ja zara phir mohabbat karne chala hai tu murder,0,1,1
119,hate them sare marks yahin jate hain bc kisi ko kuch nahi ata,0,1,0
120,yaar i hate bigg boss par aaj maine kapil  sir ke liye bigg boss dekha per kapil  sir to aaye hi nahi,1,1,0
121, hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese  kodi ki congi chudail wahi kahegi jo congress karti ayi hai tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,0,1,0
122,koi rape kar raha ho aur tum dekhte raho toh tum bhi gunhegar ho,0,1,0
123,to bhai muhabbat konsa dsp lagwa deti ha,0,0,0
124, beingsalmankhan i hate ppl wen dey call him bhai jabki vo feeling hoti hi nahi hai,0,1,0
125,desh me kitna hatred felaoge sir ji,0,1,0
126,mulle sirf terrorism ko invent karne ke liye jeet sakte hai,0,1,0
127,is mc ko bharat mein la kar phansi dena hai kya  kar rhi bjp sarkar  parliament mein phle pakistan  ko atankwadi desh to ghosit kare e,0,1,0
128,suadie kings apne badshat bachane k liye kisi ko be ne chora,0,1,0
129,muslamno ko mecca aur madina k nam pe cash karwata raha,0,1,0
130, beingsalmankhan aajkal thodi bahut nafrat si ho gai hai aapse d way u blacked heena khan ,1,1,0
131,hatred for all mendosti hai dushmani to nahin,0,1,0
132,i also hate her  mc  deepikapadukone bhut ghamandi hai srk ko thanks tak ni bolahttps  twittercom blurryface status ,1,1,0
133,varun khan ulti ganga hate speech  sanjayazadsln  jigneshmevani  shehla_rashid  drkumarvishwas  kanhaiyajnusu  ikamalhaasan  lambaalka,0,0,0
134,bhakts hamesha srk ko target krte hai ,0,1,1
135,hate deepika k liye hai ,0,0,1
136,tag block bhakt ka  real srk haters ,0,0,1
137,btw movie apne ko dekhna nhi hai,0,1,1
138,badi ummide lagaye bethe hai apni maa ke murder ke khulase kahamare ander bhay hai  thana fatehpur sikri ke imlaoda gaon ki daqeti murder ka,0,0,0
139,toilet ghotala  sri jan ghotala  bandh ghotala aur murder ka aarop  wah re tera surya  paltua ko sharm bhi aata hai ki nahi ,0,1,0
140,ma khata ho article  ka tahat is bat pa muzamil abbas tara ko  bar phansi ke saza honi chayegali gali ma shooor ha aia sara chorrrr ha,0,1,0
141,thank you gud nightmere kaan se khoon nikal raha hai,0,1,0
142,islamic terror faila rakha ha india me inhone,0,0,0
143,muje kabhi yaqin nahi asakta tumhari baat pe k u like puneeshisliye kyun karun nafrat jb tum keh hi jhoot rahi ho,0,1,0
144, mahwashajaz_  tumre yaha aise khule aamm murder hote hai kya https  twittercom zeenabbaloch status ,0,1,0
145,kisi kay baap ka yeh pakistan thori hay ,0,1,0
146,are iski baat ur gadhe ki laat ek jesi h roj palti marti hiska koi bharosa nhii hate her to much roj gand nikalti h shilpa k liyeise bas hina pasand h,1,0,0
147,kabhi nahi jhoot sunn kar kaan may se khoon nikla    vote for shilpa,0,1,1
148,yeh talent #rishtedaaron main b hota hai,0,1,0
149,chalo koi toh hai jo sacchai dekh sakta haiwarna baqi toh andhe ho chuke hai nafrat mekoi hater galat video bana k bhej raha hai aur yeh log pura such jane bagair uchal rahe hain pagal log,0,1,1
150,bandagi k aankhu se khun k aansu kya aankh phod k khun hi nikal do i hate this bitch  #bb,1,1,0
151,ek chehra dil ke kareeb  melodious song  lata   garam khoon  vinod khanna  sulakshana pandit http  fbme tqcahx,0,0,0
152,i hate shilpaye jo dikhti hain na woo nahi hainevery time simpathi leti hain salman khan se,1,1,0
153,sir lekin jo log rajput nahin hain to unka khoon dhanda hota hai,0,1,0
154,tu jaha mai waha  starring vinod khanna  sulakshana pandit  movie garam khoon  http  fbme oqoyfagj,0,0,0
155, thekaranpatel  yaar hadd ho gayi karan bua ki  iski subah saam hina ke comments pe hoti hai  aur baat kaisi karta hai  hina ko koi fark nahi padta  aur tu apna khoon jalan raha hai  aur aam janta see gaali bhi khaa raha hai hadd hai,0,1,0
156,jab pappu khan saffron terrorism bolta hai tab hinduoo ka apman nahi hota hai  chee papu khan kay pidi,0,0,0
157,ghatiya gandagi gairgujri gulchharrey udaney walo hatred pungi,0,1,0
158,good job magar dindharai rape murder jo ho raha hai bihar mai usko bhee dhayan rakhai aap twitter par pheknai sai kuch na hoga saheb crimes par control karai,0,0,0
159,ek khooni liberal ki ek buhat baray leader say moaddabana guzarish aap liberals pe toh baras paray magar aap ke khoon kay piasay khadim rizvi aur afzal qadri say aap nay kufr kay fatway kay dar say is saal kay shoro main maafi maangli thi  imrankhanptihttps  youtube atgruxsgi,0,0,0
160,isse kehte hain aandh bhakti           hate for shilpa shindey,0,0,1
161,jo dharam ko chhupaye vo socho kya bhala kr skta h kisi katbhi m socha ye saffron terror kyon kah rha h aaj itna pyar saffron se gandhi nhi gndi nali ki paidaish h,0,0,1
162, geeta_phogat thank you so much for this  hater ka aur kio kaam nahin hain  hina ke liye itna hate hain ke aankhen band kar ke dekhte hain,0,0,0
163,tum logo ko dete hunge paise tum logo ko humare mulk k baato me kyu itna interest hai ohh samajh gaya  tum logo k mulk me ab kuch baat karne reh he nahi gaya hoga sab kuch terrorism se he shuru aur nahi khatm,0,0,0
164, gauahar_khan  iamkamyapunjabi  why you guy have so me hate rate for someone kuch din ka biggboss hai khatam ho jaiga pr ap  logo k dil me apni jaga mat khoiye or  iamkamyapunjabi hina jo bhi or jaha se bhi aye hai pr ap kon ho https  twittercom geeta_phogat status ,0,0,0
165,yukh  hate atay jaisay chitti larki,0,1,0
166,arshi khan ko add q nai kia apni hatred mai,0,0,0
167,is conversation mai wo bi ti,0,0,1
168,sub kai apnay point of view,0,0,1
169,but haters bicharay andhay,0,1,0
170, sambhavnaseth toh vikas ke samne when someone said kali where is he vikas bhi boht galt hai kuch chizo mein aur shilpa ka bhi ab woh pehle wala roop nikal raha hai because uske arshi aur akash ne darar dikh rahi hai aaj na shilpa gandagi aur puneesh mein se nafrat  contin,0,1,0
171,gale dena achi bat nahi agar ye sab khatam karna hai to #luvtyagi ko vot karo ye sab khud ba khud khatam ho jayega,0,1,1
172, sambhavnaseth mam apne aaj bola sahi bola but vikas bhi maze le raha tha waise toh ladki ko moti bola usko bada problem ho raha tha aur sab gandagi ne kiya hai but shilpa ne bhi uski bhadas nikali hai sabpe uska hatred aur uske sath jo bahr hua hai that has made shilpa,0,0,0
173,aaj ka ep dekh k sahi me itna he khoon khol rha tha jis tarah se janwaro ki trh punish ne trimmer chalaya luv ko luckily khoon ni aya hina n akash k sath jo kia insaniyat h he ni kya shilpa punish vikas bandagi me #shame  biggboss  beingsalmankhan  eyehinakhan  theluvtyagi #bbhttps  twittercom sambhavnaseth status ,0,0,0
174,bad politics ek hindu bhai dusre hindu bhai ka khoon pene k liye taiyar hogaya he,0,1,0
175,abhi bhe time he sab sudar jao,0,0,0
176, thekaranpatel  aapke paas koi kaam nahi he pura din yahi sochte ho ki hina k against kya tweet karu aaj aap kisi mitti k bane ho insaaniyat bhi nahi he aapme  really muje regret hota he ki me kabhi aapka fan tha  now i hate u karan  aap to patel kahne k laayak bhi nahi,1,0,1
177,bda chhuparustam nikla re rahul baba ise kahte h deeye niche andhera desh ko dhoka aankho me dhul jhonk rha thha aaj pta chla ye saffron terror kyon kahta firta h dhokhebaj h aaul baba,0,0,0
178, gauhar khan muje regret hota he ki mene season  me aapke liye votes kiye the aur aapka fan tha  but ab to aapne saari ijjat gava di ki ek hina k piche padi rehti ho  aapke paas koi kaam nahi he kya pura dina hina k against tweet k bareme hi sochta ho i hate u gauhar,1,1,0
179,hate u arshi khan hindustan ki awam dekh rahi hai dushman se dosti tumhariye game hai ya pyar,1,1,0
180,gauahar k fb pe hina se kam followers hain  sahi toh hai  logo ko sach batana achha lagta hai sun na nahi  koi gali toh nahi di na kuchh bewkoof aise react kar rahe hain jaise murder kar diya ho  agar hina inki chaplusi karti toh achha bolte,0,1,0
181,i hate u kamya muje regret hota he ki me kabhi aapka fan tha aapko insaaniyat naam ki koi chij hi nahi he aapne i hate u kamya,1,1,0
182,rishta likhenge hum naya chotti thakurains chakarvyuh earns ratans hatred https  googl fb azyuf #starplus #colors,0,1,0
183,aaj kal khoon rare aata hai  due to unhealthy diet,0,1,0
184,jish movie ki story rape viktim girl ki ho kya ek viktim ko sexy bolna shi hai ye log simple name rakh skte the,0,0,0
185,but inko aise naam rakh kar controversy create kark film ki free publicity karwana tha,0,1,0
186,vivad hone pr freedom of speech khatre mein aa jata hai,0,0,0
187,we are showing  we  really kya baat kar rahe ho  aanshu aagaye yaar koi itna hatred kaise laa sakta hai,0,0,1
188,main kon se sachye sa baagi app ek pic laga k khud tabsra ker rahy ho main ki koi laga doon ore khoon tum ya ker rahy thy hahahah lol kia mazaq ha pictwittercom lwjknxrktq,0,1,1
189,ajj mujhe puneesh aur bandgi ko dekha kar itna zadya gussa aa rha tha ki kaise log hai yeh mujhe iss season k sabse worst constants mil gye,0,0,1
190,wese bhi ye sanghi hijde shadi se zyada rape main vishwas rakhte to teri maa ki sari khol kar dekh khaki chadhhi pehni hogi lol hijde chakke,0,0,0
191,kal uski behn bati rape hogi,0,1,0
192,tab bhi love jihad avivyakti ki azadi ban jana chache,0,1,0
193,to khul ke bole pyar hai nafrat nhi game kiu khel raha hai,0,1,1
194, logon ko phansi lag jae to corruption khatam hojae gi sheikh rasheed http  fbme huioexq,0,1,0
195,kaun h vo log jo hina akash or luv ko vote kr rhe hdil khi kho diya kya nafrat bdi cheez h,0,1,1
196,ek bar fair hokr vote ni kr skte insaniyat ki hade par ho gai aaj https  twittercom bollywood_life status ,0,1,0
197,madam aap ka chinta karna bilkul jayaj h  aap ke pati ek bahdur or nidar insan h  biswas rakhiye sir to bahut door ki baat h koi haat bhi nhi laga sakta h  phir aap bhi to ek hindu viragna ho  rani laxmibai rani durgabatti inka or aap ka khoon ek hi h aap apne pati ki sakti ho ,0,0,0
198,hate u sooooooooooooo muuuuuuuuuuchhhhhh big boss gandgi faila rkhi h bndgi punish ne unhe kuchh nhi khoge hina pr chd jaoge,1,1,0
199, ipgaur  imanveergurjar kamya english sikha rahi hate failane k sath sath,0,0,0
200,i hate heen khaan ye video maine abhi dekha kuch galat nahi bolla usne kun itna bada issue bana rahe ho sab sach baat  bol rahi hai wo jo hum aur aap bhi bolte hai heena ke hater hone ka matlab ye nahi ki kisi bhi baat ka issue banao,1,0,0
201,pm ki post ki izzat krte hai isliye gaali nhi di  mgr jo pm ki post pr hai wo khoon choos raja hai desh ka or ap jese log uska sath de rahe hai,0,1,1
202,hina ki team aisi hi hai kewal nafrat hi rakhti haimanu bhai,0,1,1
203,aaj hina ki baari aayi to apne time pe rone lgi public se appl karne lgi,0,0,1
204,puri fake hai,0,1,0
205,i hate pungi for doing what they did with luv and akash but hina ne ankhon main mirch daali hai and usne baal bhi kaate hai,1,1,0
206,poora india yahi soch raha hai bro ki jhooti ko tv industry se laye hai ki dusre planet se hate her,1,0,0
207,akash aur luv ke saath to boht galat kiya but hina ke saath wohi kiya jo usne kiya the thats why i hate pungi,1,1,0
208,hina khan chalak aur dhokebaaj lomdi hai  mai aaj ke task mein hoti toh uska ka nak katke use shurpanakha banati  i just hate her,1,1,0
209,she hate punish and bandagi iss liye aur madam bolati h unbiased hu,0,1,0
210,zillat ki jeet se behtar izzat ki haar hai  vikas gupta ka kahna hai ke shilpa se sakht nafrat karte hai lekin aankh band kar ke support karte hai bhayya ye konsi nafrat hai #bb  doveeyeshashtag,1,1,0
211,hina ne khud shilpa ke baal kate ajj apni trun toh india dekh raha hai ek ladki dusri ladki ke baal cut kar rahi hai hate hina nd love shilp,0,1,0
